FY 2020,,AVNT US Equity,ABB US Equity,ACHC US Equity,AMD US Equity,ASIX US Equity,ACM US Equity,ALK US Equity,ADS US Equity,MO US Equity,ABEV US Equity,AAT US Equity,AXL US Equity,AMT US Equity,AU US Equity,ADM US Equity,AMBP US Equity,T US Equity,ADP US Equity,BHC US Equity,BBY US Equity,BURL US Equity,CMD US Equity,COF US Equity,CAT US Equity,SNP US Equity,CHD US Equity,CIT US Equity,CLF US Equity,CL US Equity,CMC US Equity,COP US Equity,CSTM US Equity,CUB US Equity,DCI US Equity,DTE US Equity,ETRN US Equity,ESNT US Equity,ESS US Equity,FR US Equity,FLWS US Equity,GPS US Equity,GIL US Equity,GKOS US Equity,HSC US Equity,HIG US Equity,HAS US Equity,HBI US Equity,PEAK US Equity,HLF US Equity,HI US Equity,HUN US Equity,INGR US Equity,IBM US Equity,IFF US Equity,IGT US Equity,JHG US Equity,KSU US Equity,7986Z US Equity,KRC US Equity,LOW US Equity,MAC US Equity,MAR US Equity,MRK US Equity,MCO US Equity,MUR US Equity,NJR US Equity,NWL US Equity,NEE US Equity,NWBO US Equity,OCLB US Equity,OEC US Equity,OUT US Equity,PK US Equity,PH US Equity,BTU US Equity,PEP US Equity,GLT US Equity,PSX US Equity,PBI US Equity,PEG US Equity,PSA US Equity,QTS US Equity,RTX US Equity,SPPJY US Equity,SIG US Equity,STM US Equity,SYT US Equity,SYY US Equity,TRGP US Equity,TGT US Equity,HSY US Equity,HD US Equity,SJM US Equity,THS US Equity,UNP US Equity,VIPS US Equity,SHW US Equity,WDAY US Equity,WH US Equity,ZBH US Equity
,,Avient,abb-ltd,acadia-realty-trust,advance-auto-parts-inc,advansix,aecom-technology-corporation,alaska-air-group-inc,alliance-data-systems-corporation,altria-group-inc,ambev-sa,american-assets-trust,american-axle-manufacturing-holdings-inc,american-tower-corporation,anglogold-ashanti-limited,archer-daniels-midland-company,ardagh-group-sa,att-inc,automatic-data-processing-inc,bausch-health-companies-inc,best-buy,burlington-stores-inc,cantel-medical-corp,capital-one-financial-corporation,caterpillar-inc,china-petroleum-chemical-corporation,church-dwight-co-inc,cit-group-inc,cliffs-natural-resources-inc,colgate-palmolive-co,commercial-metals-co,conocophillips,constellium-se,cubic-corp,donaldson-company-inc,dte-energy-co,equitrans-midstream-corporation,essent-group-ltd,essex-property-trust,first-industrial-realty-trust-inc,flowers-foods-inc,gap-inc,gildan-activewear-inc,glaukos-corporation,harsco-corporation,hartford-financial-services-group-inc,hasbro-inc,hb-fuller-co,healthpeak-properties,herbalife-ltd,hillenbrand-inc,huntsman-corp,ingredion-incorporated,international-business-machines-corp,international-flavors-fragrances-inc,international-game-technology,janus-henderson-group-plc,kansas-city-southern,keybank,kilroy-realty-corporation,lowes-companies-inc,macerich-company,marriott-vacaions-worldwide,merck-co-inc,moodys-corp,murphy-oil-corporation,new-jersey-resources-corp,newell-brands-inc,nextera-energy-inc,northwest-natural-gas-company,office-depot-inc,orion-engineered-carbons,outfront-media,park-hotels-resorts-inc,parker-hannifin-corporation,peabody-energy-corp,pepsico-inc,ph-glatfelter-co,phillips,pitney-bowes-inc,public-service-enterprise-group-inc,public-storage,qts-realty-trust-inc,raytheon-co,sappi-ltd,signet-jewelers-limited,stmicroelectronics,syngenta-ag,sysco-corp,targa-resources-partners-lp,target-corp,the-hershey-company,the-home-depot-inc,the-j-m-smucker-company,treehouse-foods-inc,union-pacific-corporation,vipshop-hldings-limited,williams-companies-inc,workday,wyndham-hotels-resorts-inc,zimmer-holdings-inc
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,49.12,54.39,17.54,43.86,42.11,33.33,43.86,47.37,—,43.86,14.04,42.11,56.14,47.37,54.39,—,57.81,38.60,17.54,33.33,33.33,28.07,—,38.60,59.38,31.58,26.67,49.12,—,49.12,—,—,29.82,31.58,—,63.16,31.67,52.63,—,19.30,49.12,63.16,54.39,38.60,46.67,—,—,—,59.65,29.82,47.37,—,40.35,—,49.12,41.67,43.86,—,43.86,33.33,49.12,42.11,59.65,54.39,48.44,29.69,33.33,45.31,14.04,—,—,—,—,26.32,28.07,54.39,—,43.86,63.16,—,43.86,—,28.07,—,54.39,63.16,—,—,33.33,49.12,64.91,38.60,33.33,—,47.37,—,43.86,33.33,—,33.33
Employees,,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty
Number of Employees,NUMBER_EMPLOYEES_CSR,"8,400.00","105,600.00","42,200.00","12,600.00","1,400.00","54,000.00","20,160.00","8,000.00",—,"38,502.00",189.00,"20,000.00","5,618.00","20,730.00","39,088.00",—,"230,760.00","58,000.00","21,600.00","125,000.00","47,000.00","3,669.00",—,"97,300.00","384,065.00","5,108.00","4,163.00","25,000.00","34,200.00","11,297.00","9,700.00","12,156.00","6,100.00","12,400.00",—,777.00,381.00,"1,799.00",—,"4,300.00","129,000.00","44,425.00",653.00,"12,000.00","18,500.00",—,"61,000.00",217.00,"9,900.00","11,000.00","8,980.00","12,000.00","345,900.00","14,785.00","11,048.00","4,097.00","6,522.00",—,252.00,"320,000.00",670.00,"121,000.00","74,000.00","11,490.00",675.00,"1,157.00","31,000.00","14,900.00",19.00,—,—,—,—,"50,520.00","4,600.00","281,586.00",—,"14,300.00","11,500.00","12,788.00","5,427.00",—,"181,000.00","13,790.00","26,749.00","46,016.00",—,"57,000.00","2,372.00","368,000.00","16,877.00","415,700.00","7,300.00",—,"30,965.00",—,"61,031.00","12,230.00","9,000.00","20,000.00"
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,8.10,16.00,—,7.00,—,—,—,—,—,—,—,—,7.00,—,—,—,—,—,—,30.00,—,—,—,—,0.69,—,10.60,—,—,—,5.30,10.28,—,—,—,6.20,—,26.00,—,—,—,27.00,16.87,19.00,—,—,—,6.91,12.91,—,—,—,—,12.70,13.52,—,8.00,—,—,—,13.00,—,8.50,11.00,—,—,—,—,—,—,—,—,—,—,—,19.12,—,5.00,—,5.60,—,—,—,6.62,—,14.00,—,—,—,—,27.21,—,—,—,—,—,—,—,—,—
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,1.00,—,—,—,50.35,7.40,79.73,—,—,—,0.00,72.00,8.00,—,16.30,—,37.00,—,—,—,—,0.00,—,40.00,100.00,—,—,74.00,24.70,17.00,—,84.00,—,—,—,0.00,0.00,0.00,—,0.00,—,53.00,—,—,0.00,—,—,0.00,0.00,26.00,42.00,32.00,—,19.90,—,0.00,75.00,—,1.00,—,0.00,16.52,30.00,10.00,—,49.30,—,23.20,—,—,—,—,—,—,—,51.00,—,—,—,60.90,—,—,22.65,57.00,1.00,78.00,—,24.00,0.00,—,37.00,—,24.00,—,83.00,—,—,0.00,7.00,—
Employee Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty,#N/A Mandatory parameter [FIELDS] cannot be empty
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,—,26.00,—,24.00,—,—,54.00,62.00,—,17.70,45.50,22.00,25.00,—,23.00,—,34.30,53.00,—,28.00,75.00,—,—,20.00,33.10,41.00,—,12.00,40.20,12.00,27.00,13.00,25.00,—,—,23.00,—,42.00,—,—,76.00,45.00,38.00,—,59.70,—,—,47.00,51.00,—,28.30,—,33.90,38.00,31.46,39.00,5.00,—,59.00,—,58.00,54.00,49.00,41.00,21.00,30.40,47.90,24.00,—,—,—,—,—,—,—,24.41,—,20.90,43.00,18.00,69.00,—,—,19.44,74.90,34.00,—,20.00,16.00,58.00,48.14,37.00,30.00,—,6.00,—,24.50,—,60.00,—
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,—,20.00,—,—,—,—,—,—,—,—,48.23,16.00,40.00,—,—,—,35.70,42.00,—,—,—,—,—,20.00,12.59,—,—,—,40.70,—,23.00,—,25.00,24.00,—,22.00,—,67.00,—,—,74.00,41.00,—,—,53.90,—,—,—,45.00,—,—,—,29.00,38.00,30.91,35.00,19.00,—,58.00,—,—,—,42.00,33.00,17.00,—,39.70,25.00,—,—,—,—,—,—,—,41.00,—,18.80,32.00,16.00,38.00,—,—,—,75.30,—,—,24.00,24.00,56.00,—,32.00,—,—,—,—,26.50,39.40,50.00,—
% Women in Mgt,PCT_WOMEN_MGT,—,—,—,14.00,55.00,—,—,44.00,—,—,—,—,—,33.00,27.00,—,—,—,—,—,—,—,—,—,—,—,—,—,39.10,60.00,19.00,—,—,—,—,—,—,51.00,—,—,58.00,20.00,38.00,18.00,34.10,—,—,—,30.00,—,—,—,—,31.00,25.40,25.00,—,—,20.00,—,—,—,31.00,33.00,12.00,—,—,—,—,—,—,—,—,—,—,—,—,—,30.00,—,—,—,—,—,40.40,13.00,—,—,—,41.00,37.40,—,—,—,22.00,—,—,33.70,30.00,—
